curriculum_id,unit_id,lesson_id,label,url,resource_type,display_order
act1,unit-1,lesson-1,Lesson Plan,https://docs.google.com/document/d/1RnyQC-J8YrFHyflB3jKXdNqB6FFayD40f7NPPN0czYA/edit?usp=drivesdk,Lesson Resource,1
act1,unit-1,lesson-1,Slide Deck,https://docs.google.com/presentation/d/121JNdgppk-W_nwTt7kBnyptFYVJnB9UobW9c-EAqhUc/edit?usp=drivesdk,Lesson Resource,2
act1,unit-1,lesson-1,Student Workbook,https://docs.google.com/presentation/d/1nuQMatnW791NHQ3QzpAGxzcN5mU5yzyqfr5pbJHK-v4/edit?usp=drivesdk,Lesson Resource,3
act1,unit-1,lesson-1,Lesson Resources,https://docs.google.com/document/d/1X-LOvne2R4YWCDINwJdDnA9ZgCgw2OqSEOrY-URfafI/edit?usp=drivesdk,Lesson Resource,4
act1,unit-1,lesson-1,Presentación en Español,https://docs.google.com/presentation/d/1-oSEFEG7jjmTdh0iyoyLlzcKjHZm_q7Y/edit?usp=sharing&ouid=104000786456689036858&rtpof=true&sd=true,Lesson Resource,5
act1,unit-2,__unit__,Unit 1 PD,https://www.proprofs.com/training/course/?title=copy-of-act-1-unit-pd_687174ccb0524,Unit Resource,1
act1,unit-2,__unit__,Unit Overview,https://docs.google.com/document/d/1Rw0QUHrfTudzKNfn4esN8XX7bEkrFkHP8c1iOR26m1E/edit?usp=sharing,Unit Resource,2
act1,unit-2,lesson-1,Lesson Plan,https://docs.google.com/document/d/1PcLo19tVwD_8vvhRNHXfUdLcmQulI2YKz_M-iNcfQPI/edit?usp=drivesdk,Lesson Resource,1
act1,unit-2,lesson-1,Slide Deck,https://docs.google.com/presentation/d/1w6wG7VB1v6kHx3UU45WKUl9Bked_dHUZZOzwbUjxTHs/edit?usp=drivesdk,Lesson Resource,2
act1,unit-2,lesson-1,Student Workbook,https://docs.google.com/presentation/d/18A1Q9huNc5CRJnp7QQ992fioudznfHMqQ--PaB-PkII/edit?usp=drivesdk,Lesson Resource,3
act1,unit-2,lesson-1,Lesson Resources,https://docs.google.com/document/d/1Ett7ZcDSX54sykrKo8uT3zxfRCzGN3Vf_a5Y8hfmP5Y/edit?usp=drivesdk,Lesson Resource,4
act1,unit-2,lesson-1,Presentación en Español,https://docs.google.com/presentation/d/1cPIYauUFWXDDMbssyEdUXfZE9mwMg6cN/edit?usp=sharing&ouid=104000786456689036858&rtpof=true&sd=true,Lesson Resource,5
act1,unit-2,lesson-2,Lesson Plan,https://docs.google.com/document/d/1TZH-tQFFiGeYaqUu12KiQGFFpZobKovtQ3PYz02uj8A/edit?usp=drivesdk,Lesson Resource,1
act1,unit-2,lesson-2,Slide Deck,https://docs.google.com/presentation/d/18gYx08KTHm0fTFWnx0_JO5olOIsbYJ5i3UeR5b4HhfQ/edit?usp=drivesdk,Lesson Resource,2
act1,unit-2,lesson-2,Student Workbook,https://docs.google.com/presentation/d/1yIURa3dKkcTjGGEd1-2LqVx8cIDl6XZYwYNpYOOyB80/edit?usp=drivesdk,Lesson Resource,3
act1,unit-2,lesson-2,Lesson Resources,https://docs.google.com/document/d/126Gi8nfYLpnb_f_T3VXCaVgeof9ErZV-FqR-m7OD5fA/edit?usp=drivesdk,Lesson Resource,4
act1,unit-2,lesson-2,Presentación en Español,https://docs.google.com/presentation/d/1SNcW49jwaTz4cEwrHV441ZUeq5oVNn8K/edit?usp=sharing&ouid=104000786456689036858&rtpof=true&sd=true,Lesson Resource,5
act1,unit-2,lesson-2,Materiales para Charadas de Scratch,https://drive.google.com/drive/folders/1-0H5awOVGoWS5CxcGgz8-wSg3y_d2ob8?usp=sharing,Lesson Resource,6
act1,unit-2,lesson-3,Lesson Plan,https://docs.google.com/document/d/1q-vyTY2pdLsdf_oKvqF9o2AeQZDmkhxlxeCEgycrGxM/edit?usp=drivesdk,Lesson Resource,1
act1,unit-2,lesson-3,Slide Deck,https://docs.google.com/presentation/d/1XQnhLA2tZUIitfBc7jRU9kLpT6b-9wHlvE7YrZ1ktvM/edit?usp=drivesdk,Lesson Resource,2
act1,unit-2,lesson-3,Student Workbook,https://docs.google.com/presentation/d/1cTiqypR5BwC4uZsJAlkGDOTUNpt0un_IpSjP9C-7nPc/edit?usp=drivesdk,Lesson Resource,3
act1,unit-2,lesson-3,Lesson Resources,https://docs.google.com/document/d/1iED98SkIaa0UTjy5hGityZjtnS9wgrShqb9Y4y8M6uI/edit?usp=drivesdk,Lesson Resource,4
act1,unit-2,lesson-3,Presentación en Español,https://docs.google.com/presentation/d/1AZm3UA5If33sUtY5LsTkWCZAWQ3gJk8K/edit?usp=sharing&ouid=104000786456689036858&rtpof=true&sd=true,Lesson Resource,5
